Player,RK,POS,BYE WEEK,TM,Pos Rank
Christian McCaffrey,1,RB,9,SF,1
CeeDee Lamb,2,WR,7,DAL,1
Tyreek Hill,3,WR,6,MIA,2
Amon-Ra St. Brown,4,WR,5,DET,3
Ja'Marr Chase,5,WR,12,CIN,4
Justin Jefferson,6,WR,6,MIN,5
Bijan Robinson,7,RB,12,ATL,2
Breece Hall,8,RB,12,NYJ,3
A.J. Brown,9,WR,5,PHI,6
Garrett Wilson,10,WR,12,NYJ,7
Puka Nacua,11,WR,6,LAR,8
Jahmyr Gibbs,12,RB,5,DET,4
Jonathan Taylor,13,RB,14,IND,5
Saquon Barkley,14,RB,5,PHI,6
Marvin Harrison,15,WR,11,ARI,9
Davante Adams,16,WR,10,LV,10
Chris Olave,17,WR,12,NO,11
Drake London,18,WR,12,ATL,12
Josh Allen,19,QB,12,BUF,1
Michael Pittman,20,WR,14,IND,13
Travis Etienne,21,RB,12,JAC,7
Brandon Aiyuk,22,WR,9,SF,14
Jalen Hurts,23,QB,5,PHI,2
Jaylen Waddle,24,WR,6,MIA,15
Mike Evans,25,WR,11,TB,16
Sam LaPorta,26,TE,5,DET,1
Kyren Williams,27,RB,6,LAR,8
Nico Collins,28,WR,14,HOU,17
Patrick Mahomes II,29,QB,6,KC,3
Travis Kelce,30,TE,6,KC,2
Lamar Jackson,31,QB,14,BAL,4
DJ Moore,32,WR,7,CHI,18
Cooper Kupp,33,WR,6,LAR,19
Isiah Pacheco,34,RB,6,KC,9
DK Metcalf,35,WR,10,SEA,20
Deebo Samuel Sr.,36,WR,9,SF,21
DeVonta Smith,37,WR,5,PHI,22
De'Von Achane,38,RB,6,MIA,10
Derrick Henry,39,RB,14,BAL,11
Rachaad White,40,RB,11,TB,12
Amari Cooper,41,WR,10,CLE,23
Malik Nabers,42,WR,11,NYG,24
Stefon Diggs,43,WR,14,HOU,25
Alvin Kamara,44,RB,12,NO,13
Anthony Richardson,45,QB,14,IND,5
James Cook,46,RB,12,BUF,14
Joe Mixon,47,RB,14,HOU,15
Zay Flowers,48,WR,14,BAL,26
Josh Jacobs,49,RB,10,GB,16
C.J. Stroud,50,QB,14,HOU,6
Trey McBride,51,TE,11,ARI,3
Christian Kirk,52,WR,12,JAC,27
Tee Higgins,53,WR,12,CIN,28
George Pickens,54,WR,9,PIT,29
Keenan Allen,55,WR,7,CHI,30
Mark Andrews,56,TE,14,BAL,4
